台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5907,27,13,0,2069,1/218.8,1/454.4,0.0,147.7
"
479
",6434,26,15,0,1351,1/247.5,1/428.9,0.0,156.9
"
480
",7762,24,27,0,963,1/323.4,1/287.5,0.0,152.2
"
481
",7323,24,25,0,1485,1/305.1,1/292.9,0.0,149.4
"
482
",3715,6,9,0,383,1/619.2,1/412.8,0.0,247.7
"
483
",2905,12,5,0,988,1/242.1,1/581.0,0.0,170.9
"
484
",2547,9,2,0,551,1/283.0,1/1273.5,0.0,231.5
"
485
",2294,4,7,0,709,1/573.5,1/327.7,0.0,208.5
"
486
",8271,51,37,0,6417,1/162.2,1/223.5,0.0,94.0
"
487
",6295,21,19,0,1038,1/299.8,1/331.3,0.0,157.4
"
488
",5525,24,13,0,1622,1/230.2,1/425.0,0.0,149.3
"
489
",6322,24,21,0,1644,1/263.4,1/301.0,0.0,140.5
"
490
",2927,8,3,0,478,1/365.9,1/975.7,0.0,266.1
"
491
",7176,32,17,0,1583,1/224.3,1/422.1,0.0,146.4
"
492
",4329,15,12,0,856,1/288.6,1/360.8,0.0,160.3
"
493
",6878,31,19,0,1478,1/221.9,1/362.0,0.0,137.6
"
494
",3350,13,7,0,1050,1/257.7,1/478.6,0.0,167.5
"
495
",6813,27,23,0,1774,1/252.3,1/296.2,0.0,136.3
"
496
",8192,37,27,0,2003,1/221.4,1/303.4,0.0,128.0
"
497
",6891,16,33,0,777,1/430.7,1/208.8,0.0,140.6
"
498
",6465,22,21,0,1741,1/293.9,1/307.9,0.0,150.3
"
499
",6482,29,13,0,1763,1/223.5,1/498.6,0.0,154.3
"
500
",2007,7,2,0,915,1/286.7,1/1003.5,0.0,223.0
"
501
",4258,12,9,0,538,1/354.8,1/473.1,0.0,202.8
"
502
",8475,36,36,0,3478,1/235.4,1/235.4,0.0,117.7
"
503
",8495,33,31,0,2174,1/257.4,1/274.0,0.0,132.7
"
504
",6894,30,28,0,2763,1/229.8,1/246.2,0.0,118.9
"
505
",3901,9,9,0,748,1/433.4,1/433.4,0.0,216.7
"
506
",8294,32,43,0,3871,1/259.2,1/192.9,0.0,110.6
"
507
",3208,11,6,0,647,1/291.6,1/534.7,0.0,188.7
"
508
",4802,14,12,0,764,1/343.0,1/400.2,0.0,184.7
"
509
",6537,28,15,0,1448,1/233.5,1/435.8,0.0,152.0
"
510
",3037,11,6,0,736,1/276.1,1/506.2,0.0,178.6
"
511
",3927,12,6,0,769,1/327.3,1/654.5,0.0,218.2
"
512
",6014,23,19,0,1505,1/261.5,1/316.5,0.0,143.2
"
513
",5991,25,21,0,2033,1/239.6,1/285.3,0.0,130.2
"
514
",5042,16,20,0,1449,1/315.1,1/252.1,0.0,140.1
"
515
",4101,15,7,0,1042,1/273.4,1/585.9,0.0,186.4
"
516
",6792,35,26,0,3620,1/194.1,1/261.2,0.0,111.3
"
517
",7476,30,18,0,2093,1/249.2,1/415.3,0.0,155.8
"
524
",6095,31,12,0,2767,1/196.6,1/507.9,0.0,141.7
"
525
",4587,13,13,0,990,1/352.8,1/352.8,0.0,176.4
"
526
",7617,30,22,0,1522,1/253.9,1/346.2,0.0,146.5
"
527
",7608,25,30,0,980,1/304.3,1/253.6,0.0,138.3
"
528
",7809,31,21,0,1815,1/251.9,1/371.9,0.0,150.2
"
529
",5105,20,14,0,1703,1/255.3,1/364.6,0.0,150.1
"
530
",6700,25,25,0,1577,1/268.0,1/268.0,0.0,134.0
"
531
",6660,20,22,0,1129,1/333.0,1/302.7,0.0,158.6
"
532
",5582,17,19,0,741,1/328.4,1/293.8,0.0,155.1
"
533
",4095,16,10,0,691,1/255.9,1/409.5,0.0,157.5
"
534
",7395,26,25,0,1108,1/284.4,1/295.8,0.0,145.0
"
535
",7864,31,31,0,2184,1/253.7,1/253.7,0.0,126.8
