台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",4911,19,11,0,978,1/258.5,1/446.5,0.0,163.7
"
479
",7885,34,32,0,2438,1/231.9,1/246.4,0.0,119.5
"
480
",1219,2,3,0,247,1/609.5,1/406.3,0.0,243.8
"
481
",2423,10,2,0,501,1/242.3,1/1211.5,0.0,201.9
"
482
",5571,14,15,0,1316,1/397.9,1/371.4,0.0,192.1
"
483
",8112,36,31,0,3150,1/225.3,1/261.7,0.0,121.1
"
484
",4385,16,13,0,958,1/274.1,1/337.3,0.0,151.2
"
485
",5044,19,13,0,1171,1/265.5,1/388.0,0.0,157.6
"
486
",4770,19,13,0,1187,1/251.1,1/366.9,0.0,149.1
"
487
",6526,31,31,0,3646,1/210.5,1/210.5,0.0,105.3
"
488
",2728,8,7,0,661,1/341.0,1/389.7,0.0,181.9
"
489
",8278,37,28,0,2778,1/223.7,1/295.6,0.0,127.4
"
490
",1795,6,4,0,466,1/299.2,1/448.8,0.0,179.5
"
491
",6417,22,19,0,1037,1/291.7,1/337.7,0.0,156.5
"
492
",2796,12,5,0,938,1/233.0,1/559.2,0.0,164.5
"
493
",5447,28,16,0,1950,1/194.5,1/340.4,0.0,123.8
"
494
",5372,24,18,0,2458,1/223.8,1/298.4,0.0,127.9
"
495
",5901,25,21,0,2176,1/236.0,1/281.0,0.0,128.3
"
496
",3491,14,10,0,1433,1/249.4,1/349.1,0.0,145.5
"
497
",9023,37,30,0,2746,1/243.9,1/300.8,0.0,134.7
"
498
",6172,23,15,0,1247,1/268.3,1/411.5,0.0,162.4
"
499
",8984,39,24,0,1669,1/230.4,1/374.3,0.0,142.6
"
500
",827,2,0,0,458,1/413.5,1/0.0,0.0,413.5
"
501
",6009,24,14,0,1717,1/250.4,1/429.2,0.0,158.1
"
502
",4856,22,9,0,1621,1/220.7,1/539.6,0.0,156.6
"
503
",2996,15,7,0,1741,1/199.7,1/428.0,0.0,136.2
"
504
",8949,41,27,0,2555,1/218.3,1/331.4,0.0,131.6
"
505
",5435,19,18,0,922,1/286.1,1/301.9,0.0,146.9
"
506
",7545,30,24,0,1680,1/251.5,1/314.4,0.0,139.7
"
507
",2387,6,3,0,602,1/397.8,1/795.7,0.0,265.2
"
508
",4828,17,12,0,970,1/284.0,1/402.3,0.0,166.5
"
509
",7809,37,28,0,3374,1/211.1,1/278.9,0.0,120.1
"
510
",1654,6,2,0,616,1/275.7,1/827.0,0.0,206.8
"
511
",2007,8,3,0,1268,1/250.9,1/669.0,0.0,182.5
"
512
",5477,23,9,0,899,1/238.1,1/608.6,0.0,171.2
"
513
",5166,15,17,0,923,1/344.4,1/303.9,0.0,161.4
"
514
",7728,30,31,0,2042,1/257.6,1/249.3,0.0,126.7
"
515
",6022,25,20,0,1008,1/240.9,1/301.1,0.0,133.8
"
516
",5173,19,13,0,1367,1/272.3,1/397.9,0.0,161.7
"
517
",5399,19,12,0,1211,1/284.2,1/449.9,0.0,174.2
"
524
",7657,35,25,0,3426,1/218.8,1/306.3,0.0,127.6
"
525
",3081,14,3,0,1369,1/220.1,1/1027.0,0.0,181.2
"
526
",4879,14,12,0,762,1/348.5,1/406.6,0.0,187.7
"
527
",1632,3,1,0,341,1/544.0,1/1632.0,0.0,408.0
"
528
",6038,25,23,0,2425,1/241.5,1/262.5,0.0,125.8
"
529
",3798,11,8,0,987,1/345.3,1/474.8,0.0,199.9
"
530
",3838,11,8,0,414,1/348.9,1/479.8,0.0,202.0
"
531
",6758,24,18,0,744,1/281.6,1/375.4,0.0,160.9
"
532
",7259,27,29,0,1985,1/268.9,1/250.3,0.0,129.6
"
533
",1806,6,1,0,426,1/301.0,1/1806.0,0.0,258.0
"
534
",5167,22,12,0,1273,1/234.9,1/430.6,0.0,152.0
"
535
",7148,27,21,0,1662,1/264.7,1/340.4,0.0,148.9
