台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7430,27,23,0,1247,1/275.2,1/323.0,0.0,148.6
"
479
",2145,4,3,0,450,1/536.3,1/715.0,0.0,306.4
"
480
",2169,6,5,0,721,1/361.5,1/433.8,0.0,197.2
"
481
",2862,8,5,0,403,1/357.8,1/572.4,0.0,220.2
"
482
",6349,19,30,0,1306,1/334.2,1/211.6,0.0,129.6
"
483
",4984,18,17,0,1498,1/276.9,1/293.2,0.0,142.4
"
484
",5259,22,17,0,1259,1/239.0,1/309.4,0.0,134.8
"
485
",4975,23,10,0,1032,1/216.3,1/497.5,0.0,150.8
"
486
",6944,30,15,0,2391,1/231.5,1/462.9,0.0,154.3
"
487
",1401,4,4,0,350,1/350.3,1/350.3,0.0,175.1
"
488
",5905,26,12,0,1372,1/227.1,1/492.1,0.0,155.4
"
489
",5696,27,20,0,2788,1/211.0,1/284.8,0.0,121.2
"
490
",6180,27,25,0,3065,1/228.9,1/247.2,0.0,118.8
"
491
",7582,35,25,0,2805,1/216.6,1/303.3,0.0,126.4
"
492
",8181,35,30,0,2968,1/233.7,1/272.7,0.0,125.9
"
493
",4942,14,21,0,720,1/353.0,1/235.3,0.0,141.2
"
494
",7849,37,22,0,2659,1/212.1,1/356.8,0.0,133.0
"
495
",2924,10,5,0,715,1/292.4,1/584.8,0.0,194.9
"
496
",6911,25,22,0,1349,1/276.4,1/314.1,0.0,147.0
"
497
",4630,17,15,0,1966,1/272.4,1/308.7,0.0,144.7
"
498
",7761,28,27,0,1465,1/277.2,1/287.4,0.0,141.1
"
499
",7382,24,21,0,1102,1/307.6,1/351.5,0.0,164.0
"
500
",4298,18,9,0,893,1/238.8,1/477.6,0.0,159.2
"
501
",7124,17,29,0,1098,1/419.1,1/245.7,0.0,154.9
"
502
",6056,20,17,0,1799,1/302.8,1/356.2,0.0,163.7
"
503
",2624,8,4,0,659,1/328.0,1/656.0,0.0,218.7
"
504
",7270,32,34,0,3553,1/227.2,1/213.8,0.0,110.2
"
505
",8210,41,26,0,3871,1/200.2,1/315.8,0.0,122.5
"
506
",8326,35,27,0,2611,1/237.9,1/308.4,0.0,134.3
"
507
",6755,20,16,0,1241,1/337.8,1/422.2,0.0,187.6
"
508
",1887,3,3,0,631,1/629.0,1/629.0,0.0,314.5
"
509
",5190,19,11,0,1209,1/273.2,1/471.8,0.0,173.0
"
510
",4454,16,7,0,802,1/278.4,1/636.3,0.0,193.7
"
511
",4725,16,21,0,1565,1/295.3,1/225.0,0.0,127.7
"
512
",6605,35,15,0,2475,1/188.7,1/440.3,0.0,132.1
"
513
",3232,16,4,0,1549,1/202.0,1/808.0,0.0,161.6
"
514
",8824,34,32,0,1880,1/259.5,1/275.8,0.0,133.7
"
515
",7240,32,23,0,2737,1/226.3,1/314.8,0.0,131.6
"
516
",2272,8,2,0,525,1/284.0,1/1136.0,0.0,227.2
"
517
",7238,35,19,0,2364,1/206.8,1/380.9,0.0,134.0
"
524
",4202,18,10,0,2092,1/233.4,1/420.2,0.0,150.1
"
525
",6945,36,20,0,2382,1/192.9,1/347.3,0.0,124.0
"
526
",6423,21,14,0,1658,1/305.9,1/458.8,0.0,183.5
"
527
",4174,12,8,0,492,1/347.8,1/521.8,0.0,208.7
"
528
",4300,14,11,0,752,1/307.1,1/390.9,0.0,172.0
"
529
",5548,18,23,0,1429,1/308.2,1/241.2,0.0,135.3
"
530
",3944,11,12,0,675,1/358.5,1/328.7,0.0,171.5
"
531
",5448,27,22,0,2640,1/201.8,1/247.6,0.0,111.2
"
532
",5994,20,20,0,1305,1/299.7,1/299.7,0.0,149.9
"
533
",6059,24,18,0,1958,1/252.5,1/336.6,0.0,144.3
"
534
",3142,11,3,0,510,1/285.6,1/1047.3,0.0,224.4
"
535
",8382,30,27,0,1164,1/279.4,1/310.4,0.0,147.1
