台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5194,17,10,0,910,1/305.5,1/519.4,0.0,192.4
"
479
",7978,37,23,0,2791,1/215.6,1/346.9,0.0,133.0
"
480
",7680,28,21,0,1178,1/274.3,1/365.7,0.0,156.7
"
481
",6291,23,24,0,1427,1/273.5,1/262.1,0.0,133.9
"
482
",5041,17,9,0,939,1/296.5,1/560.1,0.0,193.9
"
483
",5375,19,15,0,855,1/282.9,1/358.3,0.0,158.1
"
484
",4954,20,11,0,1241,1/247.7,1/450.4,0.0,159.8
"
485
",3406,13,12,0,1677,1/262.0,1/283.8,0.0,136.2
"
486
",5540,15,16,0,1181,1/369.3,1/346.3,0.0,178.7
"
487
",4420,19,9,0,1221,1/232.6,1/491.1,0.0,157.9
"
488
",8062,34,31,0,1909,1/237.1,1/260.1,0.0,124.0
"
489
",6440,20,19,0,831,1/322.0,1/338.9,0.0,165.1
"
490
",5002,14,15,0,864,1/357.3,1/333.5,0.0,172.5
"
491
",2287,7,3,0,481,1/326.7,1/762.3,0.0,228.7
"
492
",3540,6,8,0,302,1/590.0,1/442.5,0.0,252.9
"
493
",7709,44,18,0,4035,1/175.2,1/428.3,0.0,124.3
"
494
",2309,5,6,0,546,1/461.8,1/384.8,0.0,209.9
"
495
",2107,6,1,0,567,1/351.2,1/2107.0,0.0,301.0
"
496
",6556,24,18,0,1280,1/273.2,1/364.2,0.0,156.1
"
497
",7376,24,24,0,1449,1/307.3,1/307.3,0.0,153.7
"
498
",6085,19,16,0,1310,1/320.3,1/380.3,0.0,173.9
"
499
",6211,24,19,0,1521,1/258.8,1/326.9,0.0,144.4
"
500
",5912,23,18,0,1176,1/257.0,1/328.4,0.0,144.2
"
501
",7838,23,29,0,734,1/340.8,1/270.3,0.0,150.7
"
502
",1804,4,4,0,320,1/451.0,1/451.0,0.0,225.5
"
503
",8149,27,29,0,1113,1/301.8,1/281.0,0.0,145.5
"
504
",9284,28,25,0,1067,1/331.6,1/371.4,0.0,175.2
"
505
",4344,10,14,0,410,1/434.4,1/310.3,0.0,181.0
"
506
",4255,13,17,0,980,1/327.3,1/250.3,0.0,141.8
"
507
",5560,17,15,0,1126,1/327.1,1/370.7,0.0,173.8
"
508
",6140,27,17,0,1930,1/227.4,1/361.2,0.0,139.5
"
509
",8581,27,31,0,1729,1/317.8,1/276.8,0.0,147.9
"
510
",2694,10,2,0,1483,1/269.4,1/1347.0,0.0,224.5
"
511
",8740,31,26,0,1412,1/281.9,1/336.2,0.0,153.3
"
512
",6589,32,20,0,2239,1/205.9,1/329.5,0.0,126.7
"
513
",6857,32,28,0,2727,1/214.3,1/244.9,0.0,114.3
"
514
",7943,29,29,0,1678,1/273.9,1/273.9,0.0,136.9
"
515
",4558,15,15,0,759,1/303.9,1/303.9,0.0,151.9
"
516
",6856,26,23,0,1475,1/263.7,1/298.1,0.0,139.9
"
517
",6202,23,14,0,1191,1/269.7,1/443.0,0.0,167.6
"
524
",5729,18,15,0,1054,1/318.3,1/381.9,0.0,173.6
"
525
",7054,18,24,0,840,1/391.9,1/293.9,0.0,168.0
"
526
",2990,10,2,0,501,1/299.0,1/1495.0,0.0,249.2
"
527
",6714,24,23,0,1122,1/279.8,1/291.9,0.0,142.9
"
528
",8209,29,15,0,982,1/283.1,1/547.3,0.0,186.6
"
529
",4683,15,4,0,1214,1/312.2,1/1170.8,0.0,246.5
"
530
",7187,28,22,0,1335,1/256.7,1/326.7,0.0,143.7
"
531
",7165,21,22,0,728,1/341.2,1/325.7,0.0,166.6
"
532
",6508,24,21,0,1532,1/271.2,1/309.9,0.0,144.6
"
533
",5988,21,18,0,1567,1/285.1,1/332.7,0.0,153.5
"
534
",8402,28,29,0,1699,1/300.1,1/289.7,0.0,147.4
"
535
",5253,19,12,0,1088,1/276.5,1/437.8,0.0,169.5
