台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6779,26,19,0,1034,1/260.7,1/356.8,0.0,150.6
"
479
",7080,30,20,0,1625,1/236.0,1/354.0,0.0,141.6
"
480
",7530,36,26,0,2791,1/209.2,1/289.6,0.0,121.5
"
481
",7421,29,33,0,2021,1/255.9,1/224.9,0.0,119.7
"
482
",5026,24,15,0,1792,1/209.4,1/335.1,0.0,128.9
"
483
",3346,4,6,0,322,1/836.5,1/557.7,0.0,334.6
"
484
",7556,38,20,0,3378,1/198.8,1/377.8,0.0,130.3
"
485
",6257,18,20,0,941,1/347.6,1/312.9,0.0,164.7
"
486
",6430,18,25,0,644,1/357.2,1/257.2,0.0,149.5
"
487
",7381,19,25,0,848,1/388.5,1/295.2,0.0,167.8
"
488
",6301,26,21,0,1534,1/242.3,1/300.0,0.0,134.1
"
489
",5302,13,15,0,1344,1/407.8,1/353.5,0.0,189.4
"
490
",3487,10,8,0,865,1/348.7,1/435.9,0.0,193.7
"
491
",6671,32,19,0,2164,1/208.5,1/351.1,0.0,130.8
"
492
",7985,46,26,0,4727,1/173.6,1/307.1,0.0,110.9
"
493
",2338,9,3,0,1024,1/259.8,1/779.3,0.0,194.8
"
494
",7608,31,27,0,2069,1/245.4,1/281.8,0.0,131.2
"
495
",8367,39,18,0,2107,1/214.5,1/464.8,0.0,146.8
"
496
",7480,35,28,0,2372,1/213.7,1/267.1,0.0,118.7
"
497
",5324,19,11,0,913,1/280.2,1/484.0,0.0,177.5
"
498
",4798,13,10,0,704,1/369.1,1/479.8,0.0,208.6
"
499
",8447,30,32,0,1630,1/281.6,1/264.0,0.0,136.2
"
500
",2922,9,6,0,382,1/324.7,1/487.0,0.0,194.8
"
501
",7237,36,19,0,3629,1/201.0,1/380.9,0.0,131.6
"
502
",5525,23,16,0,1653,1/240.2,1/345.3,0.0,141.7
"
503
",5963,27,18,0,1981,1/220.9,1/331.3,0.0,132.5
"
504
",8287,41,24,0,3732,1/202.1,1/345.3,0.0,127.5
"
505
",7243,36,24,0,2778,1/201.2,1/301.8,0.0,120.7
"
506
",3570,13,7,0,757,1/274.6,1/510.0,0.0,178.5
"
507
",5963,21,16,0,1246,1/284.0,1/372.7,0.0,161.2
"
508
",6951,21,22,0,994,1/331.0,1/316.0,0.0,161.7
"
509
",4621,17,10,0,918,1/271.8,1/462.1,0.0,171.1
"
510
",8732,40,30,0,3517,1/218.3,1/291.1,0.0,124.7
"
511
",8963,36,32,0,1876,1/249.0,1/280.1,0.0,131.8
"
512
",8412,30,33,0,1913,1/280.4,1/254.9,0.0,133.5
"
513
",5883,19,13,0,1161,1/309.6,1/452.5,0.0,183.8
"
514
",5072,19,10,0,1006,1/266.9,1/507.2,0.0,174.9
"
515
",7147,20,32,0,1293,1/357.4,1/223.3,0.0,137.4
"
516
",3376,8,7,0,683,1/422.0,1/482.3,0.0,225.1
"
517
",8590,44,27,0,3673,1/195.2,1/318.1,0.0,121.0
"
524
",7037,33,27,0,3016,1/213.2,1/260.6,0.0,117.3
"
525
",7612,28,34,0,2496,1/271.9,1/223.9,0.0,122.8
"
526
",3141,11,7,0,776,1/285.5,1/448.7,0.0,174.5
"
527
",5541,21,18,0,1016,1/263.9,1/307.8,0.0,142.1
"
528
",4141,8,9,0,703,1/517.6,1/460.1,0.0,243.6
"
529
",6317,32,12,0,2837,1/197.4,1/526.4,0.0,143.6
"
530
",3903,10,8,0,727,1/390.3,1/487.9,0.0,216.8
"
531
",4475,17,16,0,1340,1/263.2,1/279.7,0.0,135.6
"
532
",8095,23,30,0,1279,1/352.0,1/269.8,0.0,152.7
"
533
",4829,18,7,0,720,1/268.3,1/689.9,0.0,193.2
"
534
",7078,15,28,0,675,1/471.9,1/252.8,0.0,164.6
"
535
",7101,30,25,5,1373,1/236.7,1/284.0,1420.2,129.1
