台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6714,24,16,0,1324,1/279.8,1/419.6,0.0,167.9
"
479
",4996,17,9,0,954,1/293.9,1/555.1,0.0,192.2
"
480
",4555,12,9,0,667,1/379.6,1/506.1,0.0,216.9
"
481
",6472,20,21,0,953,1/323.6,1/308.2,0.0,157.9
"
482
",4178,10,11,0,567,1/417.8,1/379.8,0.0,199.0
"
483
",8002,33,29,0,2329,1/242.5,1/275.9,0.0,129.1
"
484
",8992,39,31,0,2892,1/230.6,1/290.1,0.0,128.5
"
485
",8015,34,26,0,2542,1/235.7,1/308.3,0.0,133.6
"
486
",2824,7,3,0,541,1/403.4,1/941.3,0.0,282.4
"
487
",5952,19,17,0,1086,1/313.3,1/350.1,0.0,165.3
"
488
",4516,15,10,0,924,1/301.1,1/451.6,0.0,180.6
"
489
",6229,26,18,0,1934,1/239.6,1/346.1,0.0,141.6
"
490
",4394,15,6,0,801,1/292.9,1/732.3,0.0,209.2
"
491
",3347,5,6,0,314,1/669.4,1/557.8,0.0,304.3
"
492
",5717,22,10,0,1074,1/259.9,1/571.7,0.0,178.7
"
493
",8955,36,36,0,2448,1/248.8,1/248.8,0.0,124.4
"
494
",6459,25,23,0,2091,1/258.4,1/280.8,0.0,134.6
"
495
",6714,20,23,0,1370,1/335.7,1/291.9,0.0,156.1
"
496
",2742,7,9,0,742,1/391.7,1/304.7,0.0,171.4
"
497
",7214,28,26,0,1893,1/257.6,1/277.5,0.0,133.6
"
498
",8705,36,38,0,3045,1/241.8,1/229.1,0.0,117.6
"
499
",4309,18,7,0,922,1/239.4,1/615.6,0.0,172.4
"
500
",5838,20,10,0,1100,1/291.9,1/583.8,0.0,194.6
"
501
",4687,15,9,0,726,1/312.5,1/520.8,0.0,195.3
"
502
",3755,7,12,0,810,1/536.4,1/312.9,0.0,197.6
"
503
",4496,20,11,0,1531,1/224.8,1/408.7,0.0,145.0
"
504
",7655,23,35,0,1503,1/332.8,1/218.7,0.0,132.0
"
505
",7507,29,21,0,1862,1/258.9,1/357.5,0.0,150.1
"
506
",6067,22,19,0,1574,1/275.8,1/319.3,0.0,148.0
"
507
",3830,11,6,0,738,1/348.2,1/638.3,0.0,225.3
"
508
",2703,5,6,0,461,1/540.6,1/450.5,0.0,245.7
"
509
",4930,24,14,0,1898,1/205.4,1/352.1,0.0,129.7
"
510
",3740,13,7,0,987,1/287.7,1/534.3,0.0,187.0
"
511
",7705,38,24,0,4134,1/202.8,1/321.0,0.0,124.3
"
512
",3509,15,5,0,767,1/233.9,1/701.8,0.0,175.5
"
513
",6460,31,14,0,1725,1/208.4,1/461.4,0.0,143.6
"
514
",7036,26,17,0,1010,1/270.6,1/413.9,0.0,163.6
"
515
",1718,5,2,0,448,1/343.6,1/859.0,0.0,245.4
"
516
",7422,34,25,0,2845,1/218.3,1/296.9,0.0,125.8
"
517
",8581,35,35,0,2069,1/245.2,1/245.2,0.0,122.6
"
524
",7743,27,23,0,1486,1/286.8,1/336.7,0.0,154.9
"
525
",8266,29,25,0,2088,1/285.0,1/330.6,0.0,153.1
"
526
",5395,21,19,0,1053,1/256.9,1/283.9,0.0,134.9
"
527
",2488,13,1,0,770,1/191.4,1/2488.0,0.0,177.7
"
528
",6335,25,17,0,986,1/253.4,1/372.6,0.0,150.8
"
529
",8354,35,26,0,2521,1/238.7,1/321.3,0.0,137.0
"
530
",6683,28,19,0,1475,1/238.7,1/351.7,0.0,142.2
"
531
",3041,10,6,0,1175,1/304.1,1/506.8,0.0,190.1
"
532
",4763,15,19,0,1125,1/317.5,1/250.7,0.0,140.1
"
533
",7342,28,25,0,1856,1/262.2,1/293.7,0.0,138.5
"
534
",4014,12,9,0,1149,1/334.5,1/446.0,0.0,191.1
"
535
",7618,23,27,0,1329,1/331.2,1/282.1,0.0,152.4
