台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5849,21,22,0,1997,1/278.5,1/265.9,0.0,136.0
"
479
",7645,23,28,0,1083,1/332.4,1/273.0,0.0,149.9
"
480
",2903,11,9,0,1109,1/263.9,1/322.6,0.0,145.2
"
481
",2735,10,6,0,1307,1/273.5,1/455.8,0.0,170.9
"
482
",4799,18,12,0,1398,1/266.6,1/399.9,0.0,160.0
"
483
",2703,6,11,0,1087,1/450.5,1/245.7,0.0,159.0
"
484
",3460,7,5,0,337,1/494.3,1/692.0,0.0,288.3
"
485
",3664,11,6,0,806,1/333.1,1/610.7,0.0,215.5
"
486
",5088,17,11,0,904,1/299.3,1/462.5,0.0,181.7
"
487
",8181,31,22,0,1343,1/263.9,1/371.9,0.0,154.4
"
488
",5930,22,15,0,953,1/269.5,1/395.3,0.0,160.3
"
489
",3441,11,6,0,483,1/312.8,1/573.5,0.0,202.4
"
490
",5282,16,13,0,823,1/330.1,1/406.3,0.0,182.1
"
491
",5745,23,13,0,1668,1/249.8,1/441.9,0.0,159.6
"
492
",2131,7,1,0,316,1/304.4,1/2131.0,0.0,266.4
"
493
",8097,30,28,0,1205,1/269.9,1/289.2,0.0,139.6
"
494
",6597,26,9,0,813,1/253.7,1/733.0,0.0,188.5
"
495
",9149,24,31,0,865,1/381.2,1/295.1,0.0,166.3
"
496
",7105,24,20,0,1326,1/296.0,1/355.3,0.0,161.5
"
497
",5469,18,18,0,644,1/303.8,1/303.8,0.0,151.9
"
498
",6428,18,17,0,1215,1/357.1,1/378.1,0.0,183.7
"
499
",2920,10,6,0,865,1/292.0,1/486.7,0.0,182.5
"
500
",8289,38,20,0,1849,1/218.1,1/414.5,0.0,142.9
"
501
",8576,39,26,0,2753,1/219.9,1/329.8,0.0,131.9
"
502
",6830,30,27,0,2511,1/227.7,1/253.0,0.0,119.8
"
503
",7030,37,22,0,3467,1/190.0,1/319.5,0.0,119.2
"
504
",6729,24,27,0,2419,1/280.4,1/249.2,0.0,131.9
"
505
",1909,7,3,0,485,1/272.7,1/636.3,0.0,190.9
"
506
",6573,22,23,0,1614,1/298.8,1/285.8,0.0,146.1
"
507
",3464,11,6,0,944,1/314.9,1/577.3,0.0,203.8
"
508
",4565,13,14,0,582,1/351.2,1/326.1,0.0,169.1
"
509
",7672,32,24,0,2258,1/239.8,1/319.7,0.0,137.0
"
510
",4190,13,9,0,768,1/322.3,1/465.6,0.0,190.5
"
511
",7614,25,34,0,1846,1/304.6,1/223.9,0.0,129.1
"
512
",1474,2,3,0,247,1/737.0,1/491.3,0.0,294.8
"
513
",4837,11,15,0,751,1/439.7,1/322.5,0.0,186.0
"
514
",3213,8,7,0,571,1/401.6,1/459.0,0.0,214.2
"
515
",5591,14,18,0,818,1/399.4,1/310.6,0.0,174.7
"
516
",2511,4,4,0,278,1/627.8,1/627.8,0.0,313.9
"
517
",4826,12,10,0,831,1/402.2,1/482.6,0.0,219.4
"
524
",3921,13,8,0,779,1/301.6,1/490.1,0.0,186.7
"
525
",3171,11,8,0,1150,1/288.3,1/396.4,0.0,166.9
"
526
",1284,3,1,0,260,1/428.0,1/1284.0,0.0,321.0
"
527
",5121,23,14,0,1765,1/222.7,1/365.8,0.0,138.4
"
528
",7385,26,35,0,1927,1/284.0,1/211.0,0.0,121.1
"
529
",6541,33,16,0,2904,1/198.2,1/408.8,0.0,133.5
"
530
",4191,16,11,0,1398,1/261.9,1/381.0,0.0,155.2
"
531
",3324,10,8,0,717,1/332.4,1/415.5,0.0,184.7
"
532
",7008,25,24,0,1217,1/280.3,1/292.0,0.0,143.0
"
533
",5074,18,16,0,827,1/281.9,1/317.1,0.0,149.2
"
534
",9172,37,32,0,1721,1/247.9,1/286.6,0.0,132.9
"
535
",5860,18,12,0,694,1/325.6,1/488.3,0.0,195.3
