台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7639,32,28,0,1856,1/238.7,1/272.8,0.0,127.3
"
479
",4060,9,8,0,604,1/451.1,1/507.5,0.0,238.8
"
480
",6307,27,28,0,2797,1/233.6,1/225.3,0.0,114.7
"
481
",8608,39,32,0,3212,1/220.7,1/269.0,0.0,121.2
"
482
",7961,28,32,0,2017,1/284.3,1/248.8,0.0,132.7
"
483
",5962,22,18,0,1271,1/271.0,1/331.2,0.0,149.1
"
484
",6802,31,20,0,1977,1/219.4,1/340.1,0.0,133.4
"
485
",7918,26,33,0,1744,1/304.5,1/239.9,0.0,134.2
"
486
",6907,24,22,0,1520,1/287.8,1/314.0,0.0,150.2
"
487
",6450,16,24,0,821,1/403.1,1/268.8,0.0,161.3
"
488
",8570,32,26,0,1842,1/267.8,1/329.6,0.0,147.8
"
489
",6208,22,17,0,1326,1/282.2,1/365.2,0.0,159.2
"
490
",6273,19,13,0,881,1/330.2,1/482.5,0.0,196.0
"
491
",5926,31,26,0,3773,1/191.2,1/227.9,0.0,104.0
"
492
",7740,37,23,0,2002,1/209.2,1/336.5,0.0,129.0
"
493
",8218,26,36,0,1227,1/316.1,1/228.3,0.0,132.5
"
494
",8781,32,34,0,1838,1/274.4,1/258.3,0.0,133.0
"
495
",9130,42,26,0,2378,1/217.4,1/351.2,0.0,134.3
"
496
",8433,40,31,0,3499,1/210.8,1/272.0,0.0,118.8
"
497
",8701,27,30,0,1178,1/322.3,1/290.0,0.0,152.6
"
498
",7773,30,32,0,2647,1/259.1,1/242.9,0.0,125.4
"
499
",7562,21,29,0,1171,1/360.1,1/260.8,0.0,151.2
"
500
",7161,28,15,0,1642,1/255.8,1/477.4,0.0,166.5
"
501
",8306,28,37,0,1623,1/296.6,1/224.5,0.0,127.8
"
502
",8688,41,37,0,3525,1/211.9,1/234.8,0.0,111.4
"
503
",7711,32,25,0,2957,1/241.0,1/308.4,0.0,135.3
"
504
",6205,26,19,0,1725,1/238.7,1/326.6,0.0,137.9
"
505
",7311,19,26,0,1041,1/384.8,1/281.2,0.0,162.5
"
506
",8915,34,33,0,1391,1/262.2,1/270.2,0.0,133.1
"
507
",8074,33,23,0,2460,1/244.7,1/351.0,0.0,144.2
"
508
",7556,27,24,0,1536,1/279.9,1/314.8,0.0,148.2
"
509
",6142,23,28,0,1918,1/267.0,1/219.4,0.0,120.4
"
510
",9503,46,39,0,4848,1/206.6,1/243.7,0.0,111.8
"
511
",8162,42,40,0,5360,1/194.3,1/204.1,0.0,99.5
"
512
",7961,38,27,0,3063,1/209.5,1/294.9,0.0,122.5
"
513
",6319,23,15,0,819,1/274.7,1/421.3,0.0,166.3
"
514
",8699,33,33,0,1773,1/263.6,1/263.6,0.0,131.8
"
515
",8927,27,28,0,1140,1/330.6,1/318.8,0.0,162.3
"
516
",5769,15,21,0,1169,1/384.6,1/274.7,0.0,160.3
"
517
",8973,33,33,0,1263,1/271.9,1/271.9,0.0,136.0
"
524
",6864,28,29,0,1973,1/245.1,1/236.7,0.0,120.4
"
525
",7208,22,25,0,1988,1/327.6,1/288.3,0.0,153.4
"
526
",6919,22,21,0,1478,1/314.5,1/329.5,0.0,160.9
"
527
",4754,15,13,0,767,1/316.9,1/365.7,0.0,169.8
"
528
",4828,24,18,0,2495,1/201.2,1/268.2,0.0,115.0
"
529
",8512,41,24,0,3167,1/207.6,1/354.7,0.0,131.0
"
530
",7343,30,25,0,1522,1/244.8,1/293.7,0.0,133.5
"
531
",8357,35,38,0,3524,1/238.8,1/219.9,0.0,114.5
"
532
",6978,27,20,0,1786,1/258.4,1/348.9,0.0,148.5
"
533
",5428,15,16,0,981,1/361.9,1/339.3,0.0,175.1
"
534
",8040,35,25,0,2778,1/229.7,1/321.6,0.0,134.0
"
535
",6729,27,17,0,1829,1/249.2,1/395.8,0.0,152.9
