台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7675,42,21,0,3730,1/182.7,1/365.5,0.0,121.8
"
479
",4307,17,13,0,1106,1/253.4,1/331.3,0.0,143.6
"
480
",4548,17,12,0,1064,1/267.5,1/379.0,0.0,156.8
"
481
",7471,33,27,0,2864,1/226.4,1/276.7,0.0,124.5
"
482
",6059,19,14,0,1249,1/318.9,1/432.8,0.0,183.6
"
483
",3734,15,6,0,707,1/248.9,1/622.3,0.0,177.8
"
484
",2735,12,4,0,710,1/227.9,1/683.8,0.0,170.9
"
485
",4854,13,17,0,1051,1/373.4,1/285.5,0.0,161.8
"
486
",4972,22,16,0,2017,1/226.0,1/310.8,0.0,130.8
"
487
",8582,41,34,0,4191,1/209.3,1/252.4,0.0,114.4
"
488
",3135,8,8,0,503,1/391.9,1/391.9,0.0,195.9
"
489
",7730,34,27,0,2490,1/227.4,1/286.3,0.0,126.7
"
490
",3624,14,11,0,1191,1/258.9,1/329.5,0.0,145.0
"
491
",2083,5,3,0,420,1/416.6,1/694.3,0.0,260.4
"
492
",5230,17,16,0,840,1/307.6,1/326.9,0.0,158.5
"
493
",8033,35,21,0,2903,1/229.5,1/382.5,0.0,143.4
"
494
",2595,8,2,0,559,1/324.4,1/1297.5,0.0,259.5
"
495
",2764,8,5,0,597,1/345.5,1/552.8,0.0,212.6
"
496
",7362,22,26,0,1029,1/334.6,1/283.2,0.0,153.4
"
497
",6825,27,13,0,1841,1/252.8,1/525.0,0.0,170.6
"
498
",7383,31,22,0,2012,1/238.2,1/335.6,0.0,139.3
"
499
",3604,12,15,0,1639,1/300.3,1/240.3,0.0,133.5
"
500
",6539,29,22,0,1895,1/225.5,1/297.2,0.0,128.2
"
501
",6094,24,21,0,1422,1/253.9,1/290.2,0.0,135.4
"
502
",7149,33,31,0,3408,1/216.6,1/230.6,0.0,111.7
"
503
",6440,25,21,0,1845,1/257.6,1/306.7,0.0,140.0
"
504
",3227,6,8,0,702,1/537.8,1/403.4,0.0,230.5
"
505
",1922,9,0,0,931,1/213.6,1/0.0,0.0,213.6
"
506
",7611,30,20,0,1827,1/253.7,1/380.6,0.0,152.2
"
507
",5969,23,13,0,949,1/259.5,1/459.2,0.0,165.8
"
508
",8675,34,27,0,1730,1/255.1,1/321.3,0.0,142.2
"
509
",7029,19,15,0,763,1/369.9,1/468.6,0.0,206.7
"
510
",4316,12,14,0,688,1/359.7,1/308.3,0.0,166.0
"
511
",6353,21,15,0,991,1/302.5,1/423.5,0.0,176.5
"
512
",7346,23,26,0,966,1/319.4,1/282.5,0.0,149.9
"
513
",6662,17,22,0,628,1/391.9,1/302.8,0.0,170.8
"
514
",3905,15,9,0,1117,1/260.3,1/433.9,0.0,162.7
"
515
",8772,38,32,0,2931,1/230.8,1/274.1,0.0,125.3
"
516
",6330,24,26,0,2177,1/263.8,1/243.5,0.0,126.6
"
517
",7174,34,20,0,2135,1/211.0,1/358.7,0.0,132.9
"
524
",7653,20,26,0,1618,1/382.7,1/294.3,0.0,166.4
"
525
",5641,26,10,0,1552,1/217.0,1/564.1,0.0,156.7
"
526
",3123,11,5,0,547,1/283.9,1/624.6,0.0,195.2
"
527
",6585,18,22,0,1169,1/365.8,1/299.3,0.0,164.6
"
528
",2482,4,4,0,390,1/620.5,1/620.5,0.0,310.3
"
529
",5954,18,16,0,644,1/330.8,1/372.1,0.0,175.1
"
530
",3463,13,7,0,989,1/266.4,1/494.7,0.0,173.2
"
531
",6112,35,8,0,2773,1/174.6,1/764.0,0.0,142.1
"
532
",6973,30,27,0,2978,1/232.4,1/258.3,0.0,122.3
"
533
",8168,30,22,0,1981,1/272.3,1/371.3,0.0,157.1
"
534
",2675,10,2,0,618,1/267.5,1/1337.5,0.0,222.9
"
535
",5754,22,16,0,1788,1/261.5,1/359.6,0.0,151.4
