台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6374,22,15,0,1645,1/289.7,1/424.9,0.0,172.3
"
479
",7519,29,20,0,1323,1/259.3,1/376.0,0.0,153.4
"
480
",8569,30,31,0,1496,1/285.6,1/276.4,0.0,140.5
"
481
",8466,31,30,0,2487,1/273.1,1/282.2,0.0,138.8
"
482
",2295,5,4,0,343,1/459.0,1/573.8,0.0,255.0
"
483
",7650,27,25,0,1437,1/283.3,1/306.0,0.0,147.1
"
484
",6977,29,19,0,1475,1/240.6,1/367.2,0.0,145.4
"
485
",3739,11,9,0,763,1/339.9,1/415.4,0.0,187.0
"
486
",7268,33,24,0,2333,1/220.2,1/302.8,0.0,127.5
"
487
",5555,25,21,0,2226,1/222.2,1/264.5,0.0,120.8
"
488
",7225,25,22,0,1212,1/289.0,1/328.4,0.0,153.7
"
489
",7849,32,30,0,2346,1/245.3,1/261.6,0.0,126.6
"
490
",5574,24,21,0,2363,1/232.3,1/265.4,0.0,123.9
"
491
",8065,35,23,0,2168,1/230.4,1/350.7,0.0,139.1
"
492
",5750,17,18,0,1242,1/338.2,1/319.4,0.0,164.3
"
493
",6651,15,27,0,1139,1/443.4,1/246.3,0.0,158.4
"
494
",8264,29,43,0,1580,1/285.0,1/192.2,0.0,114.8
"
495
",3626,8,7,0,1171,1/453.3,1/518.0,0.0,241.7
"
496
",7119,21,23,0,1589,1/339.0,1/309.5,0.0,161.8
"
497
",7201,22,20,0,995,1/327.3,1/360.1,0.0,171.5
"
498
",7653,22,29,0,1122,1/347.9,1/263.9,0.0,150.1
"
499
",2032,3,3,0,260,1/677.3,1/677.3,0.0,338.7
"
500
",7900,32,26,0,2226,1/246.9,1/303.8,0.0,136.2
"
501
",8872,36,39,0,2385,1/246.4,1/227.5,0.0,118.3
"
502
",2849,6,4,0,418,1/474.8,1/712.3,0.0,284.9
"
503
",6993,21,22,0,1078,1/333.0,1/317.9,0.0,162.6
"
504
",2917,5,7,0,427,1/583.4,1/416.7,0.0,243.1
"
505
",9153,30,22,0,1324,1/305.1,1/416.0,0.0,176.0
"
506
",6424,23,18,0,1122,1/279.3,1/356.9,0.0,156.7
"
507
",7722,29,20,0,1172,1/266.3,1/386.1,0.0,157.6
"
508
",5669,24,12,0,1122,1/236.2,1/472.4,0.0,157.5
"
509
",9242,31,41,0,2099,1/298.1,1/225.4,0.0,128.4
"
510
",7228,31,29,0,3095,1/233.2,1/249.2,0.0,120.5
"
511
",7573,29,29,0,1831,1/261.1,1/261.1,0.0,130.6
"
512
",4452,18,7,0,1158,1/247.3,1/636.0,0.0,178.1
"
513
",4139,14,10,0,985,1/295.6,1/413.9,0.0,172.5
"
514
",5490,25,10,0,1194,1/219.6,1/549.0,0.0,156.9
"
515
",7923,36,29,0,3167,1/220.1,1/273.2,0.0,121.9
"
516
",7741,36,24,0,3206,1/215.0,1/322.5,0.0,129.0
"
517
",6260,22,16,0,1575,1/284.5,1/391.3,0.0,164.7
"
524
",8131,38,28,0,3142,1/214.0,1/290.4,0.0,123.2
"
525
",2118,7,2,0,463,1/302.6,1/1059.0,0.0,235.3
"
526
",8684,33,28,0,986,1/263.2,1/310.1,0.0,142.4
"
527
",4255,12,8,0,653,1/354.6,1/531.9,0.0,212.8
"
528
",6585,17,20,0,852,1/387.4,1/329.3,0.0,178.0
"
529
",7154,25,19,0,914,1/286.2,1/376.5,0.0,162.6
"
530
",4559,17,9,0,1073,1/268.2,1/506.6,0.0,175.3
"
531
",8326,31,34,0,1812,1/268.6,1/244.9,0.0,128.1
"
532
",2451,9,1,0,501,1/272.3,1/2451.0,0.0,245.1
"
533
",5620,13,6,0,644,1/432.3,1/936.7,0.0,295.8
"
534
",8273,24,33,0,930,1/344.7,1/250.7,0.0,145.1
"
535
",8370,33,39,0,2400,1/253.6,1/214.6,0.0,116.3
