台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6939,29,20,0,1802,1/239.3,1/347.0,0.0,141.6
"
479
",7056,35,17,0,2468,1/201.6,1/415.1,0.0,135.7
"
480
",5532,24,14,0,1988,1/230.5,1/395.1,0.0,145.6
"
481
",8380,49,24,0,4678,1/171.0,1/349.2,0.0,114.8
"
482
",4897,15,9,0,790,1/326.5,1/544.1,0.0,204.0
"
483
",8098,38,29,0,3058,1/213.1,1/279.2,0.0,120.9
"
484
",7328,31,24,0,1871,1/236.4,1/305.3,0.0,133.2
"
485
",7401,33,24,0,2788,1/224.3,1/308.4,0.0,129.8
"
486
",5439,16,13,0,1143,1/339.9,1/418.4,0.0,187.6
"
487
",7474,20,26,0,1211,1/373.7,1/287.5,0.0,162.5
"
488
",4780,16,12,0,1082,1/298.8,1/398.3,0.0,170.7
"
489
",7392,30,28,0,1976,1/246.4,1/264.0,0.0,127.4
"
490
",6402,27,18,0,1310,1/237.1,1/355.7,0.0,142.3
"
491
",5709,19,8,0,996,1/300.5,1/713.6,0.0,211.4
"
492
",7585,36,30,0,3294,1/210.7,1/252.8,0.0,114.9
"
493
",4955,14,17,0,718,1/353.9,1/291.5,0.0,159.8
"
494
",8422,38,21,0,2174,1/221.6,1/401.0,0.0,142.7
"
495
",6053,15,23,0,808,1/403.5,1/263.2,0.0,159.3
"
496
",9109,35,39,0,2133,1/260.3,1/233.6,0.0,123.1
"
497
",7125,30,20,0,1831,1/237.5,1/356.3,0.0,142.5
"
498
",7272,34,19,0,2789,1/213.9,1/382.7,0.0,137.2
"
499
",7585,28,23,0,1328,1/270.9,1/329.8,0.0,148.7
"
500
",7699,34,25,0,3015,1/226.4,1/308.0,0.0,130.5
"
501
",8443,43,37,0,4343,1/196.3,1/228.2,0.0,105.5
"
502
",9229,50,29,0,5630,1/184.6,1/318.2,0.0,116.8
"
503
",7807,35,22,0,1555,1/223.1,1/354.9,0.0,137.0
"
504
",8222,33,25,0,1711,1/249.2,1/328.9,0.0,141.8
"
505
",4004,8,10,0,536,1/500.5,1/400.4,0.0,222.4
"
506
",5288,21,15,0,1338,1/251.8,1/352.5,0.0,146.9
"
507
",6545,32,18,0,2335,1/204.5,1/363.6,0.0,130.9
"
508
",5869,23,15,0,847,1/255.2,1/391.3,0.0,154.4
"
509
",5910,18,14,0,850,1/328.3,1/422.1,0.0,184.7
"
510
",3237,10,6,0,564,1/323.7,1/539.5,0.0,202.3
"
511
",5747,14,16,0,665,1/410.5,1/359.2,0.0,191.6
"
512
",7481,28,24,0,1406,1/267.2,1/311.7,0.0,143.9
"
513
",6979,21,31,0,1679,1/332.3,1/225.1,0.0,134.2
"
514
",5934,22,21,0,1341,1/269.7,1/282.6,0.0,138.0
"
515
",5369,20,14,0,1436,1/268.5,1/383.5,0.0,157.9
"
516
",5819,24,16,0,1127,1/242.5,1/363.7,0.0,145.5
"
517
",7450,23,17,0,920,1/323.9,1/438.2,0.0,186.3
"
524
",7893,35,27,0,2907,1/225.5,1/292.3,0.0,127.3
"
525
",7576,36,24,0,3177,1/210.4,1/315.7,0.0,126.3
"
526
",6787,19,22,0,1049,1/357.2,1/308.5,0.0,165.5
"
527
",4372,18,7,0,1145,1/242.9,1/624.6,0.0,174.9
"
528
",6558,24,27,0,2661,1/273.3,1/242.9,0.0,128.6
"
529
",4101,14,12,0,1148,1/292.9,1/341.8,0.0,157.7
"
530
",7667,21,20,0,884,1/365.1,1/383.4,0.0,187.0
"
531
",6206,22,17,0,1159,1/282.1,1/365.1,0.0,159.1
"
532
",8508,27,27,0,1414,1/315.1,1/315.1,0.0,157.6
"
533
",5525,18,14,0,1186,1/306.9,1/394.6,0.0,172.7
"
534
",6891,22,22,0,1023,1/313.2,1/313.2,0.0,156.6
"
535
",7900,34,25,0,2070,1/232.4,1/316.0,0.0,133.9
