台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7879,28,22,0,1391,1/281.4,1/358.1,0.0,157.6
"
479
",7607,36,22,0,2666,1/211.3,1/345.8,0.0,131.2
"
480
",8424,27,37,0,1258,1/312.0,1/227.7,0.0,131.6
"
481
",6638,26,16,0,1767,1/255.3,1/414.9,0.0,158.0
"
482
",6219,24,15,0,1027,1/259.1,1/414.6,0.0,159.5
"
483
",5519,23,17,0,1963,1/240.0,1/324.6,0.0,138.0
"
484
",6054,27,18,0,1658,1/224.2,1/336.3,0.0,134.5
"
485
",7660,30,20,0,1610,1/255.3,1/383.0,0.0,153.2
"
486
",4086,8,11,0,446,1/510.8,1/371.5,0.0,215.1
"
487
",8948,42,39,0,4089,1/213.0,1/229.4,0.0,110.5
"
488
",4869,16,14,0,838,1/304.3,1/347.8,0.0,162.3
"
489
",6826,27,19,0,1305,1/252.8,1/359.3,0.0,148.4
"
490
",7486,17,29,0,603,1/440.4,1/258.1,0.0,162.7
"
491
",8713,44,31,0,4092,1/198.0,1/281.1,0.0,116.2
"
492
",8615,32,26,0,1247,1/269.2,1/331.3,0.0,148.5
"
493
",6030,21,14,0,1313,1/287.1,1/430.7,0.0,172.3
"
494
",6180,21,22,0,1273,1/294.3,1/280.9,0.0,143.7
"
495
",9529,33,27,0,975,1/288.8,1/352.9,0.0,158.8
"
496
",4048,10,10,0,663,1/404.8,1/404.8,0.0,202.4
"
497
",7689,39,20,0,2227,1/197.2,1/384.5,0.0,130.3
"
498
",6510,27,13,0,1504,1/241.1,1/500.8,0.0,162.8
"
499
",7388,30,23,0,2501,1/246.3,1/321.2,0.0,139.4
"
500
",7345,16,27,0,1202,1/459.1,1/272.0,0.0,170.8
"
501
",4988,14,9,0,914,1/356.3,1/554.2,0.0,216.9
"
502
",8685,37,29,0,2628,1/234.7,1/299.5,0.0,131.6
"
503
",8316,41,28,0,3435,1/202.8,1/297.0,0.0,120.5
"
504
",7094,17,27,0,657,1/417.3,1/262.7,0.0,161.2
"
505
",3982,11,9,0,574,1/362.0,1/442.4,0.0,199.1
"
506
",7062,24,21,0,615,1/294.3,1/336.3,0.0,156.9
"
507
",8178,37,20,0,2798,1/221.0,1/408.9,0.0,143.5
"
508
",3754,15,9,0,901,1/250.3,1/417.1,0.0,156.4
"
509
",8954,32,24,0,1184,1/279.8,1/373.1,0.0,159.9
"
510
",8652,35,36,0,2448,1/247.2,1/240.3,0.0,121.9
"
511
",5068,22,8,0,971,1/230.4,1/633.5,0.0,168.9
"
512
",6929,25,22,0,1082,1/277.2,1/315.0,0.0,147.4
"
513
",7734,24,29,0,1163,1/322.3,1/266.7,0.0,145.9
"
514
",7748,33,23,0,2354,1/234.8,1/336.9,0.0,138.4
"
515
",5242,21,11,0,1280,1/249.6,1/476.5,0.0,163.8
"
516
",7526,32,21,0,1642,1/235.2,1/358.4,0.0,142.0
"
517
",6586,21,12,0,786,1/313.6,1/548.8,0.0,199.6
"
524
",7117,27,18,0,2113,1/263.6,1/395.4,0.0,158.2
"
525
",7238,26,29,0,2414,1/278.4,1/249.6,0.0,131.6
"
526
",3645,9,8,0,671,1/405.0,1/455.6,0.0,214.4
"
527
",8078,33,27,0,1945,1/244.8,1/299.2,0.0,134.6
"
528
",6844,29,14,0,1522,1/236.0,1/488.9,0.0,159.2
"
529
",7133,29,14,0,2034,1/246.0,1/509.5,0.0,165.9
"
530
",5778,23,15,0,948,1/251.2,1/385.2,0.0,152.1
"
531
",6401,27,28,0,3021,1/237.1,1/228.6,0.0,116.4
"
532
",5771,18,17,0,816,1/320.6,1/339.5,0.0,164.9
"
533
",5866,21,12,0,811,1/279.3,1/488.8,0.0,177.8
"
534
",6999,25,16,0,731,1/280.0,1/437.4,0.0,170.7
"
535
",8062,31,19,0,1113,1/260.1,1/424.3,0.0,161.2
