台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5665,19,16,0,1162,1/298.2,1/354.1,0.0,161.9
"
479
",7612,41,14,0,3038,1/185.7,1/543.7,0.0,138.4
"
480
",5912,21,16,0,802,1/281.5,1/369.5,0.0,159.8
"
481
",8697,38,21,0,1931,1/228.9,1/414.1,0.0,147.4
"
482
",3600,20,7,0,2218,1/180.0,1/514.3,0.0,133.3
"
483
",8599,27,36,0,1104,1/318.5,1/238.9,0.0,136.5
"
484
",6835,27,28,0,2072,1/253.1,1/244.1,0.0,124.3
"
485
",4097,9,10,0,766,1/455.2,1/409.7,0.0,215.6
"
486
",6115,29,13,0,1903,1/210.9,1/470.4,0.0,145.6
"
487
",3496,8,6,0,697,1/437.0,1/582.7,0.0,249.7
"
488
",6795,40,16,0,3708,1/169.9,1/424.7,0.0,121.3
"
489
",4181,13,11,0,584,1/321.6,1/380.1,0.0,174.2
"
490
",8634,33,27,0,1669,1/261.6,1/319.8,0.0,143.9
"
491
",3114,7,5,0,594,1/444.9,1/622.8,0.0,259.5
"
492
",3828,10,7,0,833,1/382.8,1/546.9,0.0,225.2
"
493
",7960,34,22,0,2637,1/234.1,1/361.8,0.0,142.1
"
494
",2852,6,12,0,794,1/475.3,1/237.7,0.0,158.4
"
495
",6928,26,25,0,2163,1/266.5,1/277.1,0.0,135.8
"
496
",5598,19,17,0,859,1/294.6,1/329.3,0.0,155.5
"
497
",7721,30,21,0,2223,1/257.4,1/367.7,0.0,151.4
"
498
",7202,22,26,0,1024,1/327.4,1/277.0,0.0,150.0
"
499
",3892,17,7,0,1163,1/228.9,1/556.0,0.0,162.2
"
500
",7624,39,19,0,2728,1/195.5,1/401.3,0.0,131.4
"
501
",5548,11,17,0,659,1/504.4,1/326.4,0.0,198.1
"
502
",8432,46,20,0,3452,1/183.3,1/421.6,0.0,127.8
"
503
",7710,28,31,0,2198,1/275.4,1/248.7,0.0,130.7
"
504
",5964,24,18,0,1351,1/248.5,1/331.3,0.0,142.0
"
505
",6346,40,29,0,5786,1/158.7,1/218.8,0.0,92.0
"
506
",7338,30,18,0,1395,1/244.6,1/407.7,0.0,152.9
"
507
",3857,14,7,0,611,1/275.5,1/551.0,0.0,183.7
"
508
",6422,26,14,0,1315,1/247.0,1/458.7,0.0,160.6
"
509
",6242,30,12,0,1923,1/208.1,1/520.2,0.0,148.6
"
510
",2998,11,4,0,1311,1/272.5,1/749.5,0.0,199.9
"
511
",8642,40,34,0,3577,1/216.1,1/254.2,0.0,116.8
"
512
",6231,29,16,0,2161,1/214.9,1/389.4,0.0,138.5
"
513
",8098,33,26,0,2203,1/245.4,1/311.5,0.0,137.3
"
514
",6159,23,22,0,2279,1/267.8,1/280.0,0.0,136.9
"
515
",8339,36,26,0,3179,1/231.6,1/320.7,0.0,134.5
"
516
",5607,16,16,0,853,1/350.4,1/350.4,0.0,175.2
"
517
",6577,14,17,0,472,1/469.8,1/386.9,0.0,212.2
"
524
",2846,13,10,0,1944,1/218.9,1/284.6,0.0,123.7
"
525
",6389,14,12,0,635,1/456.4,1/532.4,0.0,245.7
"
526
",4165,16,14,0,1748,1/260.3,1/297.5,0.0,138.8
"
527
",4831,18,15,0,1624,1/268.4,1/322.1,0.0,146.4
"
528
",3912,12,9,0,782,1/326.0,1/434.7,0.0,186.3
"
529
",6839,31,26,0,2264,1/220.6,1/263.0,0.0,120.0
"
530
",3557,12,6,0,873,1/296.4,1/592.8,0.0,197.6
"
531
",7358,32,21,0,2005,1/229.9,1/350.4,0.0,138.8
"
532
",6932,22,20,0,1122,1/315.1,1/346.6,0.0,165.0
"
533
",5032,17,19,0,945,1/296.0,1/264.8,0.0,139.8
"
534
",7700,39,21,0,3521,1/197.4,1/366.7,0.0,128.3
"
535
",5935,24,15,0,1947,1/247.3,1/395.7,0.0,152.2
