台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5658,17,14,0,1065,1/332.8,1/404.1,0.0,182.5
"
479
",5068,17,14,0,1033,1/298.1,1/362.0,0.0,163.5
"
480
",3601,15,10,0,1508,1/240.1,1/360.1,0.0,144.0
"
481
",3320,11,6,0,863,1/301.8,1/553.3,0.0,195.3
"
482
",7691,40,29,0,3905,1/192.3,1/265.2,0.0,111.5
"
483
",3349,14,11,0,1114,1/239.2,1/304.5,0.0,134.0
"
484
",7932,27,20,0,1051,1/293.8,1/396.6,0.0,168.8
"
485
",4999,11,17,0,652,1/454.5,1/294.1,0.0,178.5
"
486
",5491,17,13,0,726,1/323.0,1/422.4,0.0,183.0
"
487
",6176,18,19,0,1010,1/343.1,1/325.1,0.0,166.9
"
488
",2501,7,5,0,512,1/357.3,1/500.2,0.0,208.4
"
489
",6068,28,16,0,1973,1/216.7,1/379.3,0.0,137.9
"
490
",7026,26,29,0,2082,1/270.2,1/242.3,0.0,127.7
"
491
",1517,6,2,0,454,1/252.8,1/758.5,0.0,189.6
"
492
",7673,33,32,0,2481,1/232.5,1/239.8,0.0,118.0
"
493
",8292,30,24,0,1866,1/276.4,1/345.5,0.0,153.6
"
494
",5100,25,8,0,1226,1/204.0,1/637.5,0.0,154.5
"
495
",7050,22,24,0,1078,1/320.5,1/293.8,0.0,153.3
"
496
",7914,27,29,0,1253,1/293.1,1/272.9,0.0,141.3
"
497
",7300,25,20,0,1338,1/292.0,1/365.0,0.0,162.2
"
498
",6628,23,15,0,1304,1/288.2,1/441.9,0.0,174.4
"
499
",8655,44,37,0,4369,1/196.7,1/233.9,0.0,106.9
"
500
",3850,15,9,0,1017,1/256.7,1/427.8,0.0,160.4
"
501
",6848,23,21,0,1906,1/297.7,1/326.1,0.0,155.6
"
502
",3616,10,10,0,814,1/361.6,1/361.6,0.0,180.8
"
503
",8758,36,32,0,1808,1/243.3,1/273.7,0.0,128.8
"
504
",4745,22,11,0,1395,1/215.7,1/431.4,0.0,143.8
"
505
",2574,10,4,0,727,1/257.4,1/643.5,0.0,183.9
"
506
",7047,30,23,0,2081,1/234.9,1/306.4,0.0,133.0
"
507
",6931,33,20,0,2642,1/210.0,1/346.6,0.0,130.8
"
508
",1478,5,2,0,433,1/295.6,1/739.0,0.0,211.1
"
509
",6217,27,19,0,3151,1/230.3,1/327.2,0.0,135.2
"
510
",1819,7,3,0,472,1/259.9,1/606.3,0.0,181.9
"
511
",5774,20,16,0,1308,1/288.7,1/360.9,0.0,160.4
"
512
",7759,26,15,0,860,1/298.4,1/517.3,0.0,189.2
"
513
",4827,16,11,0,1011,1/301.7,1/438.8,0.0,178.8
"
514
",5552,22,14,0,806,1/252.4,1/396.6,0.0,154.2
"
515
",5980,21,15,0,1366,1/284.8,1/398.7,0.0,166.1
"
516
",5324,26,13,0,2060,1/204.8,1/409.5,0.0,136.5
"
517
",8081,35,23,0,2165,1/230.9,1/351.3,0.0,139.3
"
524
",6929,28,23,0,1508,1/247.5,1/301.3,0.0,135.9
"
525
",3578,13,6,0,1070,1/275.2,1/596.3,0.0,188.3
"
526
",8824,43,25,0,3156,1/205.2,1/353.0,0.0,129.8
"
527
",7201,29,22,0,1777,1/248.3,1/327.3,0.0,141.2
"
528
",2712,9,5,0,595,1/301.3,1/542.4,0.0,193.7
"
529
",5791,19,17,0,648,1/304.8,1/340.6,0.0,160.9
"
530
",7300,23,20,0,786,1/317.4,1/365.0,0.0,169.8
"
531
",8396,34,34,0,2528,1/246.9,1/246.9,0.0,123.5
"
532
",7913,38,31,0,3142,1/208.2,1/255.3,0.0,114.7
"
533
",2909,8,2,0,457,1/363.6,1/1454.5,0.0,290.9
"
534
",4767,16,11,0,591,1/297.9,1/433.4,0.0,176.6
"
535
",8364,38,23,0,2237,1/220.1,1/363.7,0.0,137.1
