台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7449,25,23,0,1438,1/298.0,1/323.9,0.0,155.2
"
479
",7280,21,27,0,1776,1/346.7,1/269.6,0.0,151.7
"
480
",4803,18,12,0,1222,1/266.8,1/400.3,0.0,160.1
"
481
",9061,38,39,0,2915,1/238.4,1/232.3,0.0,117.7
"
482
",4838,14,10,0,599,1/345.6,1/483.8,0.0,201.6
"
483
",4583,15,13,0,761,1/305.5,1/352.5,0.0,163.7
"
484
",6641,26,24,0,1424,1/255.4,1/276.7,0.0,132.8
"
485
",6505,21,16,0,1081,1/309.8,1/406.6,0.0,175.8
"
486
",6067,21,19,0,2559,1/288.9,1/319.3,0.0,151.7
"
487
",8576,42,22,0,3417,1/204.2,1/389.8,0.0,134.0
"
488
",4173,12,11,0,955,1/347.8,1/379.4,0.0,181.4
"
489
",5676,18,12,0,1297,1/315.3,1/473.0,0.0,189.2
"
490
",7465,34,22,0,3108,1/219.6,1/339.3,0.0,133.3
"
491
",7110,34,19,0,2565,1/209.1,1/374.2,0.0,134.2
"
492
",6746,19,23,0,1252,1/355.1,1/293.3,0.0,160.6
"
493
",5610,23,14,0,1324,1/243.9,1/400.7,0.0,151.6
"
494
",7775,34,29,0,3136,1/228.7,1/268.1,0.0,123.4
"
495
",7799,31,25,0,1170,1/251.6,1/312.0,0.0,139.3
"
496
",6234,22,18,0,977,1/283.4,1/346.3,0.0,155.9
"
497
",8038,24,20,0,767,1/334.9,1/401.9,0.0,182.7
"
498
",8360,32,30,0,2640,1/261.3,1/278.7,0.0,134.8
"
499
",7134,29,22,0,2366,1/246.0,1/324.3,0.0,139.9
"
500
",8882,42,24,0,3397,1/211.5,1/370.1,0.0,134.6
"
501
",4930,14,15,0,714,1/352.1,1/328.7,0.0,170.0
"
502
",6394,16,22,0,1033,1/399.6,1/290.6,0.0,168.3
"
503
",6962,35,19,0,2513,1/198.9,1/366.4,0.0,128.9
"
504
",4536,16,12,0,1147,1/283.5,1/378.0,0.0,162.0
"
505
",7656,36,17,0,2309,1/212.7,1/450.4,0.0,144.5
"
506
",3388,9,6,0,740,1/376.4,1/564.7,0.0,225.9
"
507
",8034,31,28,0,1370,1/259.2,1/286.9,0.0,136.2
"
508
",4829,16,16,0,1307,1/301.8,1/301.8,0.0,150.9
"
509
",5178,15,9,0,600,1/345.2,1/575.3,0.0,215.8
"
510
",5461,16,13,0,1031,1/341.3,1/420.1,0.0,188.3
"
511
",4488,13,12,0,848,1/345.2,1/374.0,0.0,179.5
"
512
",6249,28,13,0,1456,1/223.2,1/480.7,0.0,152.4
"
513
",6871,24,27,0,1418,1/286.3,1/254.5,0.0,134.7
"
514
",6893,16,27,0,652,1/430.8,1/255.3,0.0,160.3
"
515
",7275,26,21,0,1477,1/279.8,1/346.4,0.0,154.8
"
516
",5668,17,17,0,1165,1/333.4,1/333.4,0.0,166.7
"
517
",6509,28,20,0,1834,1/232.5,1/325.5,0.0,135.6
"
524
",8151,35,28,0,2564,1/232.9,1/291.1,0.0,129.4
"
525
",5512,15,15,0,653,1/367.5,1/367.5,0.0,183.7
"
526
",4930,12,15,0,686,1/410.8,1/328.7,0.0,182.6
"
527
",7762,35,23,0,1933,1/221.8,1/337.5,0.0,133.8
"
528
",2343,9,4,0,954,1/260.3,1/585.8,0.0,180.2
"
529
",8273,38,26,0,2487,1/217.7,1/318.2,0.0,129.3
"
530
",7027,37,22,0,3108,1/189.9,1/319.4,0.0,119.1
"
531
",6678,31,21,0,2555,1/215.4,1/318.0,0.0,128.4
"
532
",4621,18,13,0,1939,1/256.7,1/355.5,0.0,149.1
"
533
",7794,34,14,0,1779,1/229.2,1/556.7,0.0,162.4
"
534
",7479,36,30,0,3359,1/207.8,1/249.3,0.0,113.3
"
535
",8592,42,34,0,4493,1/204.6,1/252.7,0.0,113.1
