台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6002,22,18,0,1203,1/272.8,1/333.4,0.0,150.1
"
479
",1640,4,2,0,343,1/410.0,1/820.0,0.0,273.3
"
480
",4399,17,9,0,2957,1/258.8,1/488.8,0.0,169.2
"
481
",5270,21,12,0,1693,1/251.0,1/439.2,0.0,159.7
"
482
",6151,18,18,0,710,1/341.7,1/341.7,0.0,170.9
"
483
",6647,23,23,0,1326,1/289.0,1/289.0,0.0,144.5
"
484
",2258,9,4,0,531,1/250.9,1/564.5,0.0,173.7
"
485
",7226,27,31,0,2080,1/267.6,1/233.1,0.0,124.6
"
486
",1021,3,0,0,261,1/340.3,1/0.0,0.0,340.3
"
487
",2017,6,4,0,478,1/336.2,1/504.3,0.0,201.7
"
488
",6629,28,20,0,1254,1/236.8,1/331.5,0.0,138.1
"
489
",2775,5,8,0,356,1/555.0,1/346.9,0.0,213.5
"
490
",4965,12,11,0,820,1/413.8,1/451.4,0.0,215.9
"
491
",3271,12,6,0,907,1/272.6,1/545.2,0.0,181.7
"
492
",7235,29,28,0,1805,1/249.5,1/258.4,0.0,126.9
"
493
",2260,4,5,0,464,1/565.0,1/452.0,0.0,251.1
"
494
",4063,18,2,0,1068,1/225.7,1/2031.5,0.0,203.2
"
495
",2433,4,6,0,519,1/608.3,1/405.5,0.0,243.3
"
496
",4210,16,12,0,1228,1/263.1,1/350.8,0.0,150.4
"
497
",6430,20,17,0,952,1/321.5,1/378.2,0.0,173.8
"
498
",8049,39,25,0,2882,1/206.4,1/322.0,0.0,125.8
"
499
",7197,30,19,0,2128,1/239.9,1/378.8,0.0,146.9
"
500
",6178,24,17,0,1537,1/257.4,1/363.4,0.0,150.7
"
501
",1909,4,4,0,247,1/477.3,1/477.3,0.0,238.6
"
502
",7556,34,27,0,2241,1/222.2,1/279.9,0.0,123.9
"
503
",8106,29,27,0,1026,1/279.5,1/300.2,0.0,144.8
"
504
",1653,5,4,0,474,1/330.6,1/413.3,0.0,183.7
"
505
",6933,30,18,0,1646,1/231.1,1/385.2,0.0,144.4
"
506
",5159,23,11,0,2106,1/224.3,1/469.0,0.0,151.7
"
507
",1505,4,4,0,522,1/376.3,1/376.3,0.0,188.1
"
508
",8432,35,37,0,2788,1/240.9,1/227.9,0.0,117.1
"
509
",4082,11,11,0,1034,1/371.1,1/371.1,0.0,185.5
"
510
",7070,26,25,0,2152,1/271.9,1/282.8,0.0,138.6
"
511
",3543,9,7,0,771,1/393.7,1/506.1,0.0,221.4
"
512
",8084,36,33,0,2313,1/224.6,1/245.0,0.0,117.2
"
513
",5049,15,19,0,1016,1/336.6,1/265.7,0.0,148.5
"
514
",7731,34,19,0,2271,1/227.4,1/406.9,0.0,145.9
"
515
",5859,24,16,0,2204,1/244.1,1/366.2,0.0,146.5
"
516
",3774,12,10,0,636,1/314.5,1/377.4,0.0,171.5
"
517
",4590,13,11,0,843,1/353.1,1/417.3,0.0,191.3
"
524
",8217,37,21,0,2962,1/222.1,1/391.3,0.0,141.7
"
525
",3228,12,12,0,1131,1/269.0,1/269.0,0.0,134.5
"
526
",4483,21,7,0,1532,1/213.5,1/640.4,0.0,160.1
"
527
",2702,11,3,0,876,1/245.6,1/900.7,0.0,193.0
"
528
",7565,26,27,0,1330,1/291.0,1/280.2,0.0,142.7
"
529
",2252,5,5,0,475,1/450.4,1/450.4,0.0,225.2
"
530
",5775,26,22,0,2105,1/222.1,1/262.5,0.0,120.3
"
531
",7831,32,17,0,1860,1/244.7,1/460.6,0.0,159.8
"
532
",6397,26,19,0,1409,1/246.0,1/336.7,0.0,142.2
"
533
",2459,6,5,0,385,1/409.8,1/491.8,0.0,223.5
"
534
",5364,16,16,0,477,1/335.3,1/335.3,0.0,167.6
"
535
",5026,19,8,0,877,1/264.5,1/628.3,0.0,186.1
