台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6354,24,16,0,1727,1/264.8,1/397.1,0.0,158.9
"
479
",7904,44,23,0,3977,1/179.6,1/343.7,0.0,118.0
"
480
",3948,16,9,0,1841,1/246.8,1/438.7,0.0,157.9
"
481
",8051,37,25,0,2621,1/217.6,1/322.0,0.0,129.9
"
482
",8131,33,30,0,2518,1/246.4,1/271.0,0.0,129.1
"
483
",7026,34,22,0,2468,1/206.6,1/319.4,0.0,125.5
"
484
",5904,25,11,0,1953,1/236.2,1/536.7,0.0,164.0
"
485
",8893,25,30,0,1385,1/355.7,1/296.4,0.0,161.7
"
486
",5917,26,13,0,1584,1/227.6,1/455.2,0.0,151.7
"
487
",6681,28,20,0,2178,1/238.6,1/334.1,0.0,139.2
"
488
",2508,6,4,0,356,1/418.0,1/627.0,0.0,250.8
"
489
",7996,21,32,0,1180,1/380.8,1/249.9,0.0,150.9
"
490
",5949,21,16,0,1466,1/283.3,1/371.8,0.0,160.8
"
491
",8537,29,29,0,1621,1/294.4,1/294.4,0.0,147.2
"
492
",3559,8,7,0,825,1/444.9,1/508.4,0.0,237.3
"
493
",6103,29,13,0,1616,1/210.4,1/469.5,0.0,145.3
"
494
",6442,19,19,0,1552,1/339.1,1/339.1,0.0,169.5
"
495
",7147,24,23,0,1912,1/297.8,1/310.7,0.0,152.1
"
496
",5201,19,13,0,1335,1/273.7,1/400.1,0.0,162.5
"
497
",6293,24,13,0,980,1/262.2,1/484.1,0.0,170.1
"
498
",3617,9,7,0,714,1/401.9,1/516.7,0.0,226.1
"
499
",8324,36,34,0,2879,1/231.2,1/244.8,0.0,118.9
"
500
",5388,6,12,0,394,1/898.0,1/449.0,0.0,299.3
"
501
",6585,25,18,0,1374,1/263.4,1/365.8,0.0,153.1
"
502
",6495,18,24,0,799,1/360.8,1/270.6,0.0,154.6
"
503
",9474,38,35,0,1984,1/249.3,1/270.7,0.0,129.8
"
504
",7972,23,31,0,815,1/346.6,1/257.2,0.0,147.6
"
505
",2537,4,2,0,438,1/634.3,1/1268.5,0.0,422.8
"
506
",8387,37,31,0,3456,1/226.7,1/270.5,0.0,123.3
"
507
",3159,11,5,0,804,1/287.2,1/631.8,0.0,197.4
"
508
",8103,30,31,0,1296,1/270.1,1/261.4,0.0,132.8
"
509
",3899,13,7,0,622,1/299.9,1/557.0,0.0,195.0
"
510
",7433,32,25,0,2511,1/232.3,1/297.3,0.0,130.4
"
511
",8930,30,31,0,1122,1/297.7,1/288.1,0.0,146.4
"
512
",7017,24,25,0,1523,1/292.4,1/280.7,0.0,143.2
"
513
",8566,40,26,0,3479,1/214.2,1/329.5,0.0,129.8
"
514
",6920,22,23,0,2341,1/314.5,1/300.9,0.0,153.8
"
515
",5506,17,18,0,1026,1/323.9,1/305.9,0.0,157.3
"
516
",6484,26,18,0,1497,1/249.4,1/360.2,0.0,147.4
"
517
",5379,28,14,0,2709,1/192.1,1/384.2,0.0,128.1
"
524
",2894,10,4,0,788,1/289.4,1/723.5,0.0,206.7
"
525
",4747,22,7,0,1381,1/215.8,1/678.1,0.0,163.7
"
526
",7149,24,15,0,1136,1/297.9,1/476.6,0.0,183.3
"
527
",4717,9,16,0,429,1/524.1,1/294.8,0.0,188.7
"
528
",5115,14,14,0,671,1/365.4,1/365.4,0.0,182.7
"
529
",5013,15,11,0,1278,1/334.2,1/455.7,0.0,192.8
"
530
",5908,24,12,0,997,1/246.2,1/492.3,0.0,164.1
"
531
",6371,22,16,0,1007,1/289.6,1/398.2,0.0,167.7
"
532
",4726,18,12,0,1628,1/262.6,1/393.8,0.0,157.5
"
533
",8644,43,21,0,3299,1/201.0,1/411.6,0.0,135.1
"
534
",3768,8,9,0,542,1/471.0,1/418.7,0.0,221.6
"
535
",7903,34,43,0,4274,1/232.4,1/183.8,0.0,102.6
